Name,Role,LinkedIn,Scraped
"Veena Jayadeva, MA, MBA",Fractional ... - LinkedIn LinkedIn’s head of sustainability on unlocking its ‘superpowers’ Stacey Stubbs - Assistant Manager to Global Manager / Head of ... Isabelle Mitchell - Head of Sustainability ... - LinkedIn Ariana Younai on LinkedIn: How Nonprofits Can Engage in ... Kathryn Whittle - Head of Sustainability Program ... - LinkedIn Steph Berwick - Head of Sustainability - LinkedIn,https://www.linkedin.com/in/veenajayadeva,2026-03-03
Nikhil Advani,Senior Director - Wildlife and Climate Resilience,https://www.linkedin.com/in/nkadvani,2026-03-03
Karina L. Weinstein,Director of Sustainability & Climate Change,https://www.linkedin.com/in/karinaweinstein,2026-03-03
Rebecca Herst,Associate Director for Resilience | LinkedIn,https://www.linkedin.com/in/rebeccaherst,2026-03-03
Nikki Batchelor,"Executive Director, Climate, XPRIZE | LinkedIn",https://www.linkedin.com/in/nikkisbatchelor,2026-03-03
Elizabeth Daniels,Executive Director | Conservative Climate Foundation | LinkedIn,https://www.linkedin.com/in/elcodaniels,2026-03-03
Kate Wright,"Executive Director, Climate Mayors - LinkedIn",https://www.linkedin.com/in/katemeiswright,2026-03-03
Amy Holm,Executive Director at The Climate Registry | LinkedIn,https://www.linkedin.com/in/amy-holm-ab9a354b,2026-03-03
Justin Winters,One Earth Philanthropy | LinkedIn,https://www.linkedin.com/in/justin-winters-oneearth,2026-03-03
Leah Karrer,"Executive Director for Americas, WRAP | LinkedIn",https://www.linkedin.com/in/leah-karrer-7140293,2026-03-03
Sarah Newman,Grist 50 Fixer | Founder & Executive Director Climate Mental Health Network #climatementalhealth | LinkedIn,https://www.linkedin.com/in/sarnew,2026-03-03
Karin Kidder,"Executive Director at E8 - LinkedInBruno Jochum - Founder and Executive Director - Climate ...Stuart Poore - Executive Director, Climate ... - LinkedInClimate Power - LinkedInCandace Ratelle (Le Roy) - Executive Director ... - LinkedInDanielle Droitsch - Environmental Policy & Nonprofit Leader ...Gregg Small - Executive Director at Climate Solutions | LinkedIn",https://www.linkedin.com/in/karinkidder,2026-03-03
Bruno Jochum,"Founder and Executive Director - Climate ...Stuart Poore - Executive Director, Climate ... - LinkedInClimate Power - LinkedInCandace Ratelle (Le Roy) - Executive Director ... - LinkedInDanielle Droitsch - Environmental Policy & Nonprofit Leader ...Gregg Small - Executive Director at Climate Solutions | LinkedIn",https://ch.linkedin.com/in/bruno-jochum-356aba14b/en,2026-03-03
Stuart Poore,"Executive Director, Climate ... - LinkedInClimate Power - LinkedInCandace Ratelle (Le Roy) - Executive Director ... - LinkedInDanielle Droitsch - Environmental Policy & Nonprofit Leader ...Gregg Small - Executive Director at Climate Solutions | LinkedIn",https://uk.linkedin.com/in/stuartedpoore,2026-03-03
"Paull Young: Head of Sustainability, AI for Climate Impact",—,https://www.linkedin.com/in/paullyoung,2026-03-03
Tracy Baird,Nonprofit leader focused on sustainability and fiscal responsibility - LinkedIn,https://www.linkedin.com/in/tarbaird,2026-03-03
Justin Murrill,Chief Sustainability Officer,https://www.linkedin.com/in/justin-murrill,2026-03-03
Jeff Sharpe,Sustainability Education and Non-Profit Leadership | LinkedIn,https://www.linkedin.com/in/jeffrey-a-sharpe,2026-03-03
Meghna Tare,Chief Sustainability Officer,https://www.linkedin.com/in/meghnatare,2026-03-03
David Leathers,Business Impact | Climate Adaptation & Resilience | Workforce Health,https://www.linkedin.com/in/davidleathers,2026-03-03
